source_id,shelter_name,description,address,city,state,zipcode,latitude,longitude,intake_phone,bed_count,available_beds,accepts_children,accepts_pets,languages_spoken,last_verified_at,url
la-casa-sf,La Casa de las Madres,24/7 DV emergency shelter and crisis hotline for survivors,1663 Mission St,San Francisco,CA,94103,37.7728,-122.4182,+14155229400,34,0,true,false,"English|Spanish",2026-02-28T09:00:00,https://www.lacasa.org
riley-center-sf,Riley Center,DV shelter and advocacy with confidential intake,1175 Howard St,San Francisco,CA,94103,37.7768,-122.4097,+14155523800,28,2,true,false,"English|Spanish|Tagalog",2026-02-28T09:00:00,https://www.rileycenter.org
woman-inc-sf,W.O.M.A.N. Inc.,DV hotline and shelter placement assistance,333 Valencia St,San Francisco,CA,94103,37.7686,-122.4221,+14155640406,20,0,true,false,"English|Spanish|Cantonese|Mandarin",2026-02-28T09:00:00,https://www.womaninc.org
ywca-sf,YWCA Golden Gate Capital Region,DV emergency shelter and transitional housing,620 Sutter St,San Francisco,CA,94102,37.7887,-122.4109,+14152580643,18,0,true,false,"English|Spanish|Cantonese",2026-02-28T09:00:00,https://www.ywca-ggc.org
asian-women-shelter-sf,Asian Women's Shelter,Culturally-specific DV shelter for Asian immigrant survivors,3543 18th St,San Francisco,CA,94110,37.7616,-122.4229,+14158648979,16,1,true,false,"English|Cantonese|Mandarin|Tagalog|Korean|Vietnamese|Hindi",2026-02-28T09:00:00,https://www.sfaws.org
casa-de-esperanza-sf,Casa de Esperanza SF,Bilingual DV shelter for Latina survivors and families,2320 Jones St,San Francisco,CA,94133,37.8010,-122.4175,+14158637654,12,0,true,false,"English|Spanish",2026-02-28T09:00:00,https://example.org/casa-de-esperanza-sf
safe-alternatives-sf,SAFE Alternatives SF,DV emergency beds with legal and housing advocacy,1270 Mission St,San Francisco,CA,94103,37.7780,-122.4160,+14155520700,22,0,true,true,"English|Spanish",2026-02-28T09:00:00,https://example.org/safe-alternatives-sf
compass-connect-sf,Compass Family Services,Emergency family shelter with DV case management,37 Grove St,San Francisco,CA,94102,37.7793,-122.4178,+14158393400,40,3,true,false,"English|Spanish|Cantonese",2026-02-28T09:00:00,https://www.compass-sf.org
safeplace-oakland,Safe Place Oakland,DV emergency beds and legal referral support,1900 Franklin St,Oakland,CA,94612,37.8087,-122.2686,+15108444777,22,0,true,true,"English|Spanish",2026-02-28T09:00:00,https://safeplace-oakland.org
ccfws-oakland,California Coalition for Women Prisoners DV Support,DV crisis services and shelter navigation Oakland,436 14th St,Oakland,CA,94612,37.8055,-122.2727,+15104511090,0,0,true,false,"English|Spanish",2026-02-28T09:00:00,https://example.org/ccfws-oakland
familiesrise-oakland,Families Rise Oakland,DV emergency shelter and survivor advocacy,570 14th St,Oakland,CA,94612,37.8052,-122.2709,+15103637760,24,1,true,false,"English|Spanish|Mam|Tigrinya",2026-02-28T09:00:00,https://www.familiesrise.org
options-recovery-oakland,Options Recovery DV Housing,DV transitional housing with trauma-informed support,1630 Fifth St,Berkeley,CA,94710,37.8689,-122.2982,+15104921325,18,0,true,false,"English|Spanish",2026-02-28T09:00:00,https://example.org/options-recovery-oakland
building-futures-fremont,Building Futures Fremont,DV safe housing trauma-informed counseling and economic support,39155 Liberty St,Fremont,CA,94538,37.5485,-121.9886,+15104940149,20,1,true,true,"English|Spanish|Hindi|Punjabi",2026-02-28T09:00:00,https://www.buildingfuturesinc.org
tiburcio-vasquez-fremont,Tiburcio Vasquez Health Center DV Program,DV case management and emergency shelter navigation Fremont,37350 Joseph St,Fremont,CA,94536,37.5630,-122.0560,+15107932250,0,0,true,false,"English|Spanish|Hindi",2026-02-28T09:00:00,https://www.tvhc.org
save-sj,SAVE Silicon Valley,DV shelter and legal services for survivors,Confidential,San Jose,CA,95113,37.3374,-121.8907,+14089750139,28,0,true,false,"English|Spanish|Vietnamese",2026-02-28T09:00:00,https://www.savesvdv.org
next-door-solutions-sj,Next Door Solutions,DV emergency shelter and 24/7 hotline,Confidential,San Jose,CA,95113,37.3374,-121.8907,+14082795566,24,0,true,false,"English|Spanish|Vietnamese|Tagalog",2026-02-28T09:00:00,https://www.nextdoorsolutions.org
maitri-santa-clara,Maitri South Asian DV Safe Home,Culturally-specific DV shelter for South Asian survivors,Confidential,Santa Clara,CA,95051,37.3523,-121.9526,+14084309899,14,0,true,false,"English|Hindi|Urdu|Punjabi|Bengali|Gujarati",2026-02-28T09:00:00,https://www.maitridv.org
aaardvarc-sj,AAARDVARC San Jose,DV advocacy and emergency shelter placement for AAPI survivors,95 N 1st St,San Jose,CA,95113,37.3374,-121.8907,+14082878882,0,0,true,false,"English|Vietnamese|Cantonese|Korean|Tagalog",2026-02-28T09:00:00,https://example.org/aaardvarc-sj
midpeninsula-resources,Midpeninsula Citizens for Fair Housing DV Program,DV housing stabilization and emergency placement,457 Kingsley Ave,Palo Alto,CA,94301,37.4419,-122.1430,+16503263405,10,2,true,false,"English|Spanish|Mandarin",2026-02-28T09:00:00,https://example.org/midpeninsula-resources
cora-san-mateo,CORA San Mateo County,DV emergency shelter and confidential hotline,Confidential,Redwood City,CA,94063,37.4852,-122.2364,+18006694357,30,0,true,false,"English|Spanish|Cantonese|Tagalog",2026-02-28T09:00:00,https://www.corasupport.org
save-berkeley,SAFE Berkeley DV Housing,DV transitional and emergency beds near UC Berkeley,2120 University Ave,Berkeley,CA,94704,37.8719,-122.2675,+15106440333,16,3,true,true,"English|Spanish",2026-02-28T09:00:00,https://example.org/save-berkeley
covenant-house-sf,Covenant House California,Emergency youth shelter including DV-affected youth 18-24,1695 Haight St,San Francisco,CA,94117,37.7694,-122.4477,+14153540850,60,4,true,false,"English|Spanish",2026-02-28T09:00:00,https://covenanthouseca.org
hamilton-family-center,Hamilton Family Center,General emergency family shelter with overnight intake,1631 Hayes St,San Francisco,CA,94117,37.7757,-122.4451,+14153315500,60,0,true,true,"English|Spanish",2026-02-28T09:00:00,https://www.hamiltonfamilycenter.org
glide-sf,Glide Memorial Emergency Services,Emergency shelter assessment and housing navigation SF,330 Ellis St,San Francisco,CA,94102,37.7832,-122.4126,+14154316000,0,0,true,true,"English|Spanish",2026-02-28T09:00:00,https://www.glide.org
st-vincent-de-paul-sf,St. Vincent de Paul Society SF,Emergency shelter intake and transitional housing referrals,1175 Howard St,San Francisco,CA,94103,37.7768,-122.4097,+14153020300,50,2,true,false,"English|Spanish",2026-02-28T09:00:00,https://www.svdp-sfcs.org
